"V2","V3","V4","V5","V6"
74.012,74.015,74.03,73.986,74
73.995,74.01,73.99,74.015,74.001
73.987,73.999,73.985,74,73.99
74.008,74.01,74.003,73.991,74.006
74.003,74,74.001,73.986,73.997
73.994,74.003,74.015,74.02,74.004
74.008,74.002,74.018,73.995,74.005
74.001,74.004,73.99,73.996,73.998
74.015,74,74.016,74.025,74
74.03,74.005,74,74.016,74.012
74.001,73.99,73.995,74.01,74.024
74.015,74.02,74.024,74.005,74.019
74.035,74.01,74.012,74.015,74.026
74.017,74.013,74.036,74.025,74.026
74.01,74.005,74.029,74,74.02
